Date, Close/Last, Volume, Open, High, Low
06/03/2020, $35.3454, 36766620, $35.4724, $35.5897, $34.7393
06/02/2020, $35.3454, 40503660, $34.7296, $35.3454, $34.4559
06/01/2020, $34.6611, 73005890, $34.7002, $34.925, $34.1235
05/29/2020, $37.3296, 46146290, $37.4078, $37.5642, $36.7334
05/28/2020, $37.3199, 21371030, $36.9875, $37.574, $36.8702
05/27/2020, $36.5672, 24576970, $36.5672, $36.6943, $36.1371
05/26/2020, $36.6454, 22068380, $36.8018, $37.0168, $36.6063
05/22/2020, $36.6552, 14972720, $36.274, $36.6845, $36.1273
05/21/2020, $36.4206, 16747790, $36.7236, $36.8018, $36.2153
05/20/2020, $36.7822, 16607440, $37.095, $37.3394, $36.6992
05/19/2020, $36.8311, 18478350, $36.9973, $37.1635, $36.4695
05/18/2020, $37.2123, 21479180, $37.4762, $37.5935, $36.7822
05/15/2020, $36.9093, 24155590, $37.1048, $37.3101, $36.5428
05/14/2020, $37.0657, 21216780, $35.9709, $37.1048, $35.9514
05/13/2020, $36.2153, 23336670, $36.4695, $36.5819, $35.7608
05/12/2020, $36.5183, 18344690, $37.2612, $37.3785, $36.4988
05/11/2020, $37.2417, 24307820, $36.4108, $37.3492, $36.3228
05/08/2020, $36.3815, 18881730, $36.4108, $36.5379, $36.2055
05/07/2020, $36.1273, 31827420, $37.5447, $37.6229, $36.0589
05/06/2020, $37.6424, 22815410, $38.0921, $38.1312, $37.6424
05/05/2020, $37.6424, 22887970, $37.9357, $37.9845, $37.4078
05/04/2020, $36.7725, 18874290, $36.7529, $37.0657, $36.5672
05/01/2020, $36.792, 21517920, $36.9973, $37.085, $36.5428
04/30/2020, $37.4958, 27942070, $37.1439, $37.6424, $36.5183
04/29/2020, $37.2612, 25159860, $37.5935, $37.6815, $36.8604
04/28/2020, $37.0559, 33839410, $38.1703, $38.3364, $36.533
04/27/2020, $37.4665, 22195480, $36.7431, $37.6717, $36.7236
04/24/2020, $36.5379, 16470040, $36.01, $36.5858, $35.9563
04/23/2020, $35.8634, 19151220, $35.4627, $36.5574, $35.4627
04/22/2020, $35.4333, 19151900, $36.1273, $36.1664, $35.3063
04/21/2020, $34.8175, 22746950, $34.9739, $35.1205, $34.5732
04/20/2020, $35.2672, 21376250, $35.5604, $36.0785, $35.2672
04/17/2020, $36.0785, 23154490, $35.6777, $36.1664, $35.2965
04/16/2020, $35.0717, 19599070, $35.3063, $35.4431, $34.7735
04/15/2020, $35.1596, 20220330, $35.2476, $35.4138, $34.7784
04/14/2020, $35.6191, 20726120, $35.1205, $35.8048, $34.5389
04/13/2020, $34.3483, 17334100, $35.1499, $35.1694, $33.9378
04/09/2020, $34.5927, 29141340, $34.2408, $34.9615, $34.0649
04/08/2020, $33.8205, 24216280, $33.2242, $34.016, $32.6866
04/07/2020, $32.8528, 22985140, $34.2115, $34.3777, $32.8333
04/06/2020, $33.7912, 38428060, $33.1558, $34.1137, $33.019
04/03/2020, $32.8821, 31154950, $31.8949, $33.1265, $31.8949
04/02/2020, $32.1295, 25794020, $31.1813, $32.2565, $31.0347
04/01/2020, $31.0347, 25341170, $31.2009, $31.5528, $30.8197
03/31/2020, $31.9047, 27959540, $31.6701, $32.2565, $31.5088
03/30/2020, $31.934, 28409430, $30.3505, $32.105, $30.3505
03/27/2020, $30.2039, 36328620, $30.1061, $31.0249, $29.9693
03/26/2020, $31.0347, 41062990, $29.2166, $31.2693, $29.2068
03/25/2020, $29.0798, 42316200, $28.8354, $30.0279, $28.3467
03/24/2020, $29.0309, 42188610, $28.8452, $29.373, $28.2489
03/23/2020, $27.8482, 50145210, $28.1121, $28.9136, $27.2519
03/20/2020, $28.3564, 49799760, $29.5978, $29.979, $28.2587
03/19/2020, $29.7347, 56756050, $31.4941, $31.5234, $29.3339
03/18/2020, $31.631, 41636580, $30.0768, $31.8753, $29.6272
03/17/2020, $31.4355, 51442680, $30.9272, $31.9144, $29.9008
03/16/2020, $29.5001, 48382420, $29.2655, $31.5577, $28.982
03/13/2020, $31.9731, 57450720, $30.5655, $32.1393, $29.549
03/12/2020, $29.3437, 59517500, $29.7933, $31.2791, $29.3241
03/11/2020, $31.4452, 62040670, $32.9994, $33.1167, $30.9467
03/10/2020, $33.8107, 38470900, $33.7912, $33.8792, $32.2663
03/09/2020, $32.9994, 40971380, $32.7062, $33.9085, $32.4129
03/06/2020, $34.231, 38834140, $33.9183, $34.3777, $33.3513
03/05/2020, $34.6611, 33298160, $34.8468, $35.3649, $34.363
03/04/2020, $35.58, 36728840, $34.3092, $35.6386, $34.1626
03/03/2020, $33.5273, 43808820, $34.3874, $34.9739, $33.0972
03/02/2020, $34.0942, 39880880, $33.146, $34.1626, $32.6915
02/28/2020, $32.6671, 62686930, $32.7355, $33.1754, $31.7971
02/27/2020, $33.3318, 52604250, $33.6641, $34.9055, $33.3318
02/26/2020, $33.9378, 45468730, $33.4686, $34.4168, $33.2536
02/25/2020, $33.1656, 39733260, $33.8987, $33.9573, $32.9506
02/24/2020, $33.8889, 36024000, $34.2506, $34.5976, $33.8205
02/21/2020, $34.9153, 30763980, $34.9544, $35.013, $34.7296
02/20/2020, $35.0423, 40752450, $34.9055, $35.2476, $34.6123
02/19/2020, $35.4138, 16841540, $35.58, $35.6777, $35.3942
02/18/2020, $35.5018, 17076730, $35.7266, $35.8439, $35.4505
02/14/2020, $35.6875, 19930520, $36.1371, $36.2055, $35.5995
02/13/2020, $36.098, 20967450, $36.7334, $36.7334, $36.054
02/12/2020, $36.8898, 21768830, $37.2319, $37.3296, $36.8702
02/11/2020, $37.2319, 15206160, $37.0364, $37.271, $36.9044
02/10/2020, $36.9582, 18973820, $37.3492, $37.3589, $36.8702
02/07/2020, $37.1928, 20781400, $37.4958, $37.5349, $37.0755
02/06/2020, $37.398, 19969440, $37.574, $37.6326, $37.1732
02/05/2020, $37.3101, 27935390, $36.9973, $37.7011, $36.968
02/04/2020, $36.8409, 29554950, $37.2221, $37.3785, $36.7822
02/03/2020, $36.6649, 19806430, $36.6161, $37.1782, $36.4597
01/31/2020, $36.401, 32157500, $36.1078, $36.6063, $36.0687
01/30/2020, $36.2349, 30660870, $36.2642, $36.3326, $35.8634
01/29/2020, $36.7334, 32428430, $37.2612, $37.5153, $36.704
01/28/2020, $37.2808, 66605680, $38.4342, $38.6003, $37.095
01/27/2020, $39.2552, 30326360, $38.5221, $39.5192, $38.3657
01/24/2020, $38.9229, 32394390, $40.0177, $40.047, $38.7421
01/23/2020, $39.7929, 25757790, $39.2846, $39.9101, $39.2259
01/22/2020, $39.2846, 17171030, $39.4116, $39.4996, $39.0695
01/21/2020, $39.4312, 21931430, $39.4703, $39.744, $39.2846
01/17/2020, $39.5974, 21901270, $39.656, $39.8857, $39.5094
01/16/2020, $39.6951, 15385560, $39.8711, $39.8759, $39.4152
01/15/2020, $39.7538, 22700040, $39.2846, $39.9492, $39.265
01/14/2020, $39.1673, 19848820, $38.5417, $39.177, $38.4146
01/13/2020, $38.5221, 14603990, $38.7274, $38.876, $38.3266
01/10/2020, $38.6003, 20453120, $38.1018, $38.7323, $38.0921
01/09/2020, $38.0139, 20846670, $38.3853, $38.3853, $37.9161
01/08/2020, $38.18, 15563490, $37.8868, $38.3364, $37.877
01/07/2020, $37.877, 19106670, $38.2387, $38.2484, $37.8086
01/06/2020, $38.0041, 14964450, $37.9454, $38.1214, $37.8281
01/03/2020, $38.053, 14160530, $37.8477, $38.356, $37.7988
01/02/2020, $38.2582, 15668510, $38.4146, $38.4635, $37.9992
12/31/2019, $38.2973, 14398890, $37.9161, $38.3169, $37.8379
12/30/2019, $38.0334, 10963330, $38.4146, $38.5319, $38.0139
12/27/2019, $38.4342, 9599858, $38.5417, $38.7274, $38.3657
12/26/2019, $38.4928, 8905914, $38.4146, $38.6785, $38.3169
12/24/2019, $38.4048, 4921941, $38.4439, $38.5515, $38.3169
12/23/2019, $38.4342, 16560690, $38.5319, $38.6248, $38.2484
12/20/2019, $38.3462, 55218400, $38.4635, $38.6492, $38.0921
12/19/2019, $38.0921, 22294740, $38.1214, $38.268, $37.9357
12/18/2019, $38.0139, 25940190, $38.1312, $38.1947, $37.7695
12/17/2019, $38.0236, 27551730, $38.5515, $38.5515, $37.965
12/16/2019, $38.2582, 22961940, $37.8281, $38.5124, $37.789
12/13/2019, $37.4665, 15824100, $37.6522, $37.8086, $37.2133
12/12/2019, $37.6717, 12727850, $37.3101, $37.7499, $37.3101
12/11/2019, $37.3589, 14771740, $37.5056, $37.7011, $37.3394
12/10/2019, $37.6131, 18189080, $37.4078, $37.7108, $37.3247
12/09/2019, $37.4567, 14971280, $37.2417, $37.5153, $37.2417
12/06/2019, $37.4274, 12213370, $37.4176, $37.6522, $37.3541
12/05/2019, $37.1732, 12427320, $37.5056, $37.5056, $36.9386
12/04/2019, $37.2808, 13759220, $37.3687, $37.398, $37.0364
12/03/2019, $37.1928, 19840010, $37.1048, $37.3394, $36.9875
12/02/2019, $37.4274, 14847390, $37.9161, $37.9259, $37.3883
11/29/2019, $37.6522, 9292076, $37.6717, $38.0041, $37.6424
11/27/2019, $37.7597, 18217970, $37.5153, $37.8379, $37.4665
11/26/2019, $37.4274, 32848100, $37.6717, $37.7206, $37.1928
11/25/2019, $37.8086, 29975890, $37.6131, $38.0041, $37.5838
11/22/2019, $37.4665, 24235310, $36.9386, $37.5447, $36.8409
11/21/2019, $36.8898, 19869700, $36.3717, $37.0853, $36.2055
11/20/2019, $36.2153, 18925730, $36.7236, $36.8409, $36.1762
11/19/2019, $36.8116, 25119180, $36.5867, $36.8311, $36.4792
11/18/2019, $36.3815, 17168330, $36.5476, $36.5965, $36.1273
11/15/2019, $36.4401, 34515590, $35.8048, $36.6258, $35.6972
11/14/2019, $35.7266, 23902490, $35.7363, $35.9318, $35.5018
